测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_net-snmp_01,fail,./mugen-riscv/logs/net-snmp/oe_test_net-snmp_01/2023-08-31-12:01:26.log,
ipvsadm,oe_test_ipvs_DEL_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_DEL_01/2023-09-01-23_06_39.log,
,oe_test_ipvs_ADD_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_ADD_01/2023-09-01-23_04_37.log,
,oe_test_ipvs_SCEN_DR_06,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_06/2023-09-02-01_08_17.log,
,oe_test_ipvs_SCEN_DR_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_01/2023-09-01-23_59_41.log,
,oe_test_ipvs_SCEN_DR_03,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_03/2023-09-02-00_25_50.log,
,oe_test_ipvs_SCEN_on_firewalld_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_on_firewalld_01/2023-09-01-23_30_09.log,
,oe_test_ipvs_SCEN_DR_02,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_02/2023-09-02-00_15_51.log,
,oe_test_ipvs_SCEN_DR_05,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_05/2023-09-02-01_01_37.log,
,oe_test_ipvs_MOD_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_MOD_01/2023-09-01-23_08_44.log,
,oe_test_ipvs_SAVE_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SAVE_01/2023-09-01-23_11_01.log,
,oe_test_ipvs_SCEN_DR_07,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_07/2023-09-02-01_15_35.log,
,oe_test_ipvs_SCEN_off_httpd_01,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_off_httpd_01/2023-09-01-23_14_55.log,
,oe_test_ipvs_SCEN_DR_04,fail,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_SCEN_DR_04/2023-09-02-00_54_30.log,
rasdaemon,oe_test_service_ras-mc-ctl,fail,./mugen-riscv/logs/rasdaemon/oe_test_service_ras-mc-ctl/2023-08-31-12:55:36.log,file missing/systemd unit restart failure/systemd unit runtime error/systemd unit enable failure
strongswan,oe_test_service_swanctl_02,fail,./mugen-riscv/logs/strongswan/oe_test_service_swanctl_02/2023-09-02-00_59_07.log,
,oe_test_service_strongswan-swanctl,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan-swanctl/2023-09-02-00_44_03.log,
,oe_test_service_strongswan_02,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan_02/2023-09-02-00_49_36.log,
,oe_test_service_strongswan_01,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan_01/2023-09-02-00_47_18.log,
,oe_test_service_charon-cmd_01,fail,./mugen-riscv/logs/strongswan/oe_test_service_charon-cmd_01/2023-09-02-01_01_30.log,
,oe_test_service_swanctl_01,fail,./mugen-riscv/logs/strongswan/oe_test_service_swanctl_01/2023-09-02-00_56_42.log,
,oe_test_service_charon-cmd_02,fail,./mugen-riscv/logs/strongswan/oe_test_service_charon-cmd_02/2023-09-02-01_03_14.log,
,oe_test_service_strongswan_03,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan_03/2023-09-02-00_51_45.log,
,oe_test_service_strongswan-starter,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan-starter/2023-09-02-01_05_14.log,
,oe_test_service_strongswan,fail,./mugen-riscv/logs/strongswan/oe_test_service_strongswan/2023-09-02-00_40_55.log,
pcsc-lite,oe_test_socket_pcscd,fail,./mugen-riscv/logs/pcsc-lite/oe_test_socket_pcscd/2023-09-03-01_17_37.log,
lxc,oe_test_lxc_ls_monitor,fail,./mugen-riscv/logs/lxc/oe_test_lxc_ls_monitor/2023-09-01-23_49_24.log,
,oe_test_lxc_device_copy,fail,./mugen-riscv/logs/lxc/oe_test_lxc_device_copy/2023-09-02-00_07_30.log,
,oe_test_lxc_snapshot_start,fail,./mugen-riscv/logs/lxc/oe_test_lxc_snapshot_start/2023-09-02-00_12_34.log,
,oe_test_lxc_autostart_cgroup,fail,./mugen-riscv/logs/lxc/oe_test_lxc_autostart_cgroup/2023-09-02-00_02_20.log,
,oe_test_lxc_create_attach,fail,./mugen-riscv/logs/lxc/oe_test_lxc_create_attach/2023-09-01-23_44_15.log,
,oe_test_lxc_stop_top,fail,./mugen-riscv/logs/lxc/oe_test_lxc_stop_top/2023-09-02-00_32_46.log,
,oe_test_lxc_info,fail,./mugen-riscv/logs/lxc/oe_test_lxc_info/2023-09-02-00_37_44.log,
,oe_test_lxc_unshare_update,fail,./mugen-riscv/logs/lxc/oe_test_lxc_unshare_update/2023-09-02-00_17_54.log,
,oe_test_lxc_unfreeze_destroy,fail,./mugen-riscv/logs/lxc/oe_test_lxc_unfreeze_destroy/2023-09-01-23_56_00.log,
perl-libwww-perl,oe_test_perl-libwww-perl_HEAD_01,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_HEAD_01/2023-09-02-10_37_47.log,
,oe_test_perl-libwww-perl_lwp_request_02,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_lwp_request_02/2023-09-02-10_45_58.log,file missing
,oe_test_perl-libwww-perl_lwp_request_01,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_lwp_request_01/2023-09-02-10_43_54.log,file missing
